Frequency,Data
1019.1,1046770
1120,1011220
1220.9,961801
1321.8,940873
1422.7,865992
1523.6,804402
1624.5,799220
1725.5,756798
1826.4,715385
1927.3,675117
2028.2,648980
2129.1,628576
2230,615722
2330.9,587448
2431.8,562626
2532.7,550280
2633.6,538394
2734.5,522955
2835.5,509457
2936.4,498352
3037.3,486155
3138.2,470775
3239.1,453952
3340,444298
3440.9,435854
3541.8,428723
3642.7,419814
3743.6,412092
3844.5,401935
3945.5,395761
4046.4,388218
4147.3,381449
4248.2,375988
4349.1,373085
4450,371112
4550.9,364412
4651.8,361635
4752.7,357619
4853.6,352272
4954.5,345107
5055.5,336820
5156.4,332640
5257.3,328663
5358.2,322798
5459.1,319368
5560,312662
5660.9,305907
5761.8,300639
5862.7,298148
5963.6,291989
6064.5,283735
6165.5,279592
6266.4,277214
6367.3,273833
6468.2,269703
6569.1,267877
6670,265605
6770.9,259679
6871.8,255840
6972.7,255024
7073.6,253744
7174.5,257271
7275.5,256993
7376.4,252319
7477.3,247792
7578.2,245866
7679.1,241092
7780,239545
7880.9,237879
7981.8,232841
8082.7,229602
8183.6,226244
8284.5,223837
8385.5,223112
8486.4,218292
8587.3,210250
8688.2,206959
8789.1,205229
8890,201925
8990.9,198705
9091.8,195390
9192.7,195810
9293.6,201541
9394.5,202112
9495.5,196569
9596.4,192886
9697.3,190644
9798.2,188029
9899.1,185727
10000,185545
