Frequency,Data
1120,1044330
1220.9,967808
1321.8,907692
1422.7,852387
1523.6,804210
1624.5,760508
1725.5,726024
1826.4,692354
1927.3,661081
2028.2,637835
2129.1,612410
2230,586306
2330.9,559061
2431.8,541754
2532.7,519466
2633.6,503999
2734.5,485341
2835.5,467277
2936.4,453369
3037.3,437386
3138.2,428840
3239.1,415350
3340,404106
3440.9,399251
3541.8,388123
3642.7,378754
3743.6,368078
3844.5,360456
3945.5,351778
4046.4,343388
4147.3,340226
4248.2,333214
4349.1,325466
4450,318709
4550.9,311983
4651.8,307355
4752.7,303134
4853.6,299979
4954.5,299543
5055.5,299697
5156.4,293735
5257.3,286065
5358.2,280812
5459.1,275804
5560,270789
5660.9,266220
5761.8,261617
5862.7,257135
5963.6,251330
6064.5,248248
6165.5,243858
6266.4,240295
6367.3,238094
6468.2,234330
6569.1,231559
6670,228137
6770.9,225291
6871.8,222067
6972.7,218468
7073.6,215510
7174.5,213129
7275.5,210607
7376.4,207899
7477.3,204970
7578.2,202876
7679.1,200260
7780,198279
7880.9,195132
7981.8,193138
8082.7,191202
8183.6,188550
8284.5,187228
8385.5,186223
8486.4,183963
8587.3,182622
8688.2,180191
8789.1,178866
8890,176818
8990.9,175063
9091.8,172284
9192.7,171442
9293.6,169475
9394.5,167898
9495.5,165893
9596.4,164155
9697.3,162623
9798.2,160753
9899.1,159078
10000,157676
