Frequency,Data
10,951533
110.91,450020
211.82,324988
312.73,259993
413.64,219781
514.55,190749
615.45,168789
716.36,152960
817.27,140092
918.18,127609
1019.1,118904
1120,111398
1220.9,104392
1321.8,97649.9
1422.7,92375.2
1523.6,87652.3
1624.5,83814.2
1725.5,80030.2
1826.4,76489.6
1927.3,73926.4
2028.2,70916.3
2129.1,68348.8
2230,65996.3
2330.9,64068.1
2431.8,61967.3
2532.7,60259.2
2633.6,58488.1
2734.5,56584.9
2835.5,54706.5
2936.4,53139.4
3037.3,51596.5
3138.2,50222.1
3239.1,48911.7
3340,47708.8
3440.9,46520.1
3541.8,45515.3
3642.7,44479.8
3743.6,43555.8
3844.5,42457.1
3945.5,41728.1
4046.4,40588.2
4147.3,39840.9
4248.2,39110.8
4349.1,38338.2
4450,37611.3
4550.9,36922.4
4651.8,36314.9
4752.7,35630.5
4853.6,34960.9
4954.5,34025.5
5055.5,33484.9
5156.4,32863.3
5257.3,32184.8
5358.2,31819.4
5459.1,31301.6
5560,30810.4
5660.9,30355.4
5761.8,29881.9
5862.7,29128.7
5963.6,28730.9
6064.5,30179.1
6165.5,29128.5
6266.4,28048.6
6367.3,27773.4
6468.2,27330.5
6569.1,26949
6670,26397.2
6770.9,25929
6871.8,25711.7
6972.7,25478.1
7073.6,25315.4
7174.5,24796
7275.5,24576.6
7376.4,24173.2
7477.3,24547.1
7578.2,24675.4
7679.1,23755
7780,23203.2
7880.9,22689.9
7981.8,22912.4
8082.7,22937.8
8183.6,22962.3
8284.5,22232.7
8385.5,22072
8486.4,21435.2
8587.3,21487.8
8688.2,21241.3
8789.1,20921.8
8890,21095.9
8990.9,20574.2
9091.8,20228.8
9192.7,20448.8
9293.6,19757.8
9394.5,20646.2
9495.5,21049.7
9596.4,21435.3
9697.3,21691.2
9798.2,20484
9899.1,20197.2
10000,19982.6
