Frequency,Data
716.36,1017510
817.27,897601
918.18,818087
1019.1,745145
1120,681594
1220.9,634574
1321.8,587158
1422.7,551641
1523.6,517600
1624.5,491217
1725.5,465549
1826.4,442802
1927.3,420296
2028.2,399757
2129.1,380831
2230,366977
2330.9,351294
2431.8,336242
2532.7,323177
2633.6,311895
2734.5,300147
2835.5,289805
2936.4,279358
3037.3,270069
3138.2,261245
3239.1,252767
3340,244630
3440.9,237789
3541.8,232384
3642.7,226057
3743.6,220416
3844.5,214530
3945.5,209493
4046.4,204577
4147.3,199775
4248.2,194767
4349.1,190096
4450,185551
4550.9,181707
4651.8,178423
4752.7,174070
4853.6,170530
4954.5,167234
5055.5,164169
5156.4,161170
5257.3,158211
5358.2,155167
5459.1,152684
5560,150218
5660.9,147907
5761.8,145485
5862.7,142803
5963.6,140434
6064.5,137746
6165.5,135840
6266.4,133745
6367.3,131536
6468.2,129174
6569.1,127744
6670,125692
6770.9,123604
6871.8,121715
6972.7,120047
7073.6,118335
7174.5,116793
7275.5,115307
7376.4,113819
7477.3,112238
7578.2,110893
7679.1,109456
7780,108121
7880.9,106841
7981.8,105403
8082.7,103990
8183.6,102939
8284.5,101514
8385.5,100374
8486.4,99453
8587.3,98337.7
8688.2,97058.7
8789.1,96146.4
8890,94969.7
8990.9,94199.4
9091.8,93246.1
9192.7,92398.9
9293.6,91487.9
9394.5,90640.8
9495.5,89850.8
9596.4,89060.9
9697.3,88419.2
9798.2,87693.1
9899.1,86934.4
10000,86055.3
