Frequency,Data
312.73,1066010
413.64,864479
514.55,718483
615.45,615951
716.36,544254
817.27,494337
918.18,448208
1019.1,410044
1120,381023
1220.9,355996
1321.8,333409
1422.7,312885
1523.6,296123
1624.5,280491
1725.5,267182
1826.4,256959
1927.3,245060
2028.2,234644
2129.1,226779
2230,218657
2330.9,210720
2431.8,203251
2532.7,196330
2633.6,190286
2734.5,184766
2835.5,178671
2936.4,173165
3037.3,168906
3138.2,164761
3239.1,160875
3340,156546
3440.9,152328
3541.8,152335
3642.7,148328
3743.6,144447
3844.5,141740
3945.5,138526
4046.4,136048
4147.3,136340
4248.2,133562
4349.1,131543
4450,127883
4550.9,127131
4651.8,126157
4752.7,123135
4853.6,122082
4954.5,120273
5055.5,118186
5156.4,115186
5257.3,113523
5358.2,111561
5459.1,109835
5560,108017
5660.9,106841
5761.8,105392
5862.7,103147
5963.6,101556
6064.5,100131
6165.5,99197.1
6266.4,99527.2
6367.3,98354.2
6468.2,96780.9
6569.1,96209.8
6670,94733.8
6770.9,93188.7
6871.8,92139.2
6972.7,91171
7073.6,90151.8
7174.5,89113.8
7275.5,88053.6
7376.4,90704.2
7477.3,89983
7578.2,90263.1
7679.1,88012.4
7780,86624.8
7880.9,85384.2
7981.8,84498.6
8082.7,83732.4
8183.6,82871.2
8284.5,81683.3
8385.5,81473
8486.4,80614.5
8587.3,79661.2
8688.2,78681.1
8789.1,77909.7
8890,77084.6
8990.9,76476.4
9091.8,75927.6
9192.7,75234.4
9293.6,74647.8
9394.5,74041.7
9495.5,73238.4
9596.4,72525.3
9697.3,72767.2
9798.2,71507.9
9899.1,71155.3
10000,70367.8
