Frequency,Data
10,50805800
110.91,11145600
211.82,5829270
312.73,4414850
413.64,3620000
514.55,2991730
615.45,9.9E+37
716.36,9.9E+37
817.27,9.9E+37
918.18,9.9E+37
1019.1,9.9E+37
1120,9.9E+37
1220.9,9.9E+37
1321.8,9.9E+37
1422.7,9.9E+37
1523.6,9.9E+37
1624.5,9.9E+37
1725.5,1068070
1826.4,1017530
1927.3,971885
2028.2,924355
2129.1,878136
2230,846612
2330.9,817865
2431.8,793571
2532.7,759707
2633.6,731675
2734.5,714134
2835.5,689910
2936.4,664292
3037.3,641609
3138.2,624215
3239.1,607753
3340,589874
3440.9,574300
3541.8,559242
3642.7,541445
3743.6,527780
3844.5,514270
3945.5,497211
4046.4,487912
4147.3,479585
4248.2,466896
4349.1,453165
4450,443442
4550.9,428888
4651.8,420013
4752.7,414400
4853.6,406682
4954.5,396579
5055.5,386854
5156.4,381104
5257.3,373733
5358.2,364289
5459.1,356755
5560,350414
5660.9,343478
5761.8,338958
5862.7,335221
5963.6,328747
6064.5,324029
6165.5,317975
6266.4,312022
6367.3,308949
6468.2,303696
6569.1,296189
6670,290619
6770.9,286436
6871.8,282655
6972.7,279338
7073.6,273176
7174.5,267994
7275.5,264446
7376.4,259974
7477.3,257401
7578.2,254823
7679.1,248336
7780,244537
7880.9,241259
7981.8,238563
8082.7,234961
8183.6,230420
8284.5,227875
8385.5,225524
8486.4,222615
8587.3,218530
8688.2,218243
8789.1,214633
8890,211951
8990.9,212054
9091.8,208293
9192.7,205814
9293.6,204230
9394.5,201725
9495.5,199556
9596.4,197048
9697.3,195422
9798.2,194151
9899.1,192959
10000,191398
