Frequency,Data
514.55,986687
615.45,850414
716.36,753076
817.27,676236
918.18,614517
1019.1,561448
1120,514603
1220.9,476867
1321.8,448691
1422.7,424127
1523.6,402109
1624.5,384845
1725.5,365717
1826.4,347621
1927.3,334825
2028.2,316627
2129.1,303702
2230,295521
2330.9,286897
2431.8,275052
2532.7,264623
2633.6,256525
2734.5,250754
2835.5,243471
2936.4,237143
3037.3,230334
3138.2,226655
3239.1,227588
3340,222637
3440.9,215411
3541.8,208224
3642.7,200862
3743.6,195814
3844.5,191381
3945.5,187072
4046.4,182396
4147.3,177538
4248.2,173909
4349.1,171423
4450,167967
4550.9,165194
4651.8,162432
4752.7,159600
4853.6,157406
4954.5,154629
5055.5,153925
5156.4,149642
5257.3,146830
5358.2,144680
5459.1,143072
5560,140931
5660.9,138587
5761.8,136108
5862.7,133563
5963.6,132778
6064.5,133649
6165.5,133403
6266.4,130468
6367.3,128177
6468.2,126253
6569.1,124655
6670,122414
6770.9,120141
6871.8,118584
6972.7,117115
7073.6,115239
7174.5,113589
7275.5,112769
7376.4,111244
7477.3,109672
7578.2,108099
7679.1,107219
7780,106484
7880.9,105559
7981.8,105124
8082.7,103411
8183.6,102102
8284.5,100485
8385.5,99065.1
8486.4,98294.3
8587.3,97711.3
8688.2,96694.5
8789.1,95547.3
8890,94473.9
8990.9,93407.2
9091.8,92681.7
9192.7,91765.9
9293.6,90958.3
9394.5,90480.4
9495.5,90980.7
9596.4,89287
9697.3,87629.1
9798.2,87062.9
9899.1,87046.7
10000,86398.1
