Frequency,Data
10,80576000
110.91,16213600
211.82,10491700
312.73,7469120
413.64,6033090
514.55,5089050
615.45,4443200
716.36,3981950
817.27,3603130
918.18,3265940
1019.1,3011030
1120,2809200
1220.9,2619030
1321.8,2449630
1422.7,2355730
1523.6,2226540
1624.5,2108750
1725.5,2018500
1826.4,1933840
1927.3,1846340
2028.2,9.9E+37
2129.1,9.9E+37
2230,9.9E+37
2330.9,9.9E+37
2431.8,9.9E+37
2532.7,9.9E+37
2633.6,9.9E+37
2734.5,9.9E+37
2835.5,9.9E+37
2936.4,9.9E+37
3037.3,9.9E+37
3138.2,9.9E+37
3239.1,9.9E+37
3340,9.9E+37
3440.9,9.9E+37
3541.8,9.9E+37
3642.7,9.9E+37
3743.6,1059920
3844.5,1037770
3945.5,1011370
4046.4,985949
4147.3,974068
4248.2,951006
4349.1,934782
4450,922224
4550.9,906707
4651.8,884839
4752.7,871014
4853.6,851263
4954.5,834627
5055.5,828117
5156.4,809122
5257.3,801830
5358.2,783618
5459.1,783864
5560,769379
5660.9,775992
5761.8,770559
5862.7,750501
5963.6,740203
6064.5,727530
6165.5,720046
6266.4,710246
6367.3,699601
6468.2,693013
6569.1,682071
6670,680242
6770.9,696279
6871.8,681482
6972.7,670663
7073.6,663036
7174.5,649790
7275.5,654289
7376.4,644895
7477.3,653855
7578.2,637949
7679.1,636904
7780,626141
7880.9,617650
7981.8,613430
8082.7,602047
8183.6,594207
8284.5,586944
8385.5,580269
8486.4,578077
8587.3,614242
8688.2,588042
8789.1,577839
8890,568985
8990.9,560174
9091.8,555294
9192.7,549301
9293.6,546252
9394.5,542166
9495.5,537560
9596.4,532892
9697.3,529947
9798.2,523989
9899.1,516650
10000,513882
