Frequency,Data
514.55,1083190
615.45,965759
716.36,874098
817.27,794305
918.18,729821
1019.1,676943
1120,630506
1220.9,593003
1321.8,556225
1422.7,526238
1523.6,498654
1624.5,474166
1725.5,454569
1826.4,436012
1927.3,419179
2028.2,401972
2129.1,389116
2230,372713
2330.9,359330
2431.8,346268
2532.7,339687
2633.6,329193
2734.5,319002
2835.5,306538
2936.4,296015
3037.3,287912
3138.2,279196
3239.1,271960
3340,263920
3440.9,257511
3541.8,250929
3642.7,247018
3743.6,241985
3844.5,234889
3945.5,229800
4046.4,222932
4147.3,218516
4248.2,213123
4349.1,208512
4450,203457
4550.9,199559
4651.8,196069
4752.7,192742
4853.6,188583
4954.5,185230
5055.5,181626
5156.4,178457
5257.3,175165
5358.2,172315
5459.1,168626
5560,165974
5660.9,163292
5761.8,160610
5862.7,157439
5963.6,154834
6064.5,152363
6165.5,150129
6266.4,147738
6367.3,145848
6468.2,143594
6569.1,141605
6670,139975
6770.9,137528
6871.8,136223
6972.7,134206
7073.6,132361
7174.5,130571
7275.5,128976
7376.4,128452
7477.3,126860
7578.2,125285
7679.1,124422
7780,122651
7880.9,120883
7981.8,119414
8082.7,117713
8183.6,115896
8284.5,114347
8385.5,112925
8486.4,111588
8587.3,110172
8688.2,108965
8789.1,107810
8890,106970
8990.9,105703
9091.8,104609
9192.7,103107
9293.6,102297
9394.5,101104
9495.5,100312
9596.4,99246
9697.3,98190
9798.2,97270
9899.1,96446.6
10000,95705.4
