Frequency,Data
615.45,1074130
716.36,928750
817.27,855172
918.18,775796
1019.1,706976
1120,666073
1220.9,613553
1321.8,572356
1422.7,534721
1523.6,503195
1624.5,476845
1725.5,452283
1826.4,432866
1927.3,413543
2028.2,396629
2129.1,383251
2230,366198
2330.9,356067
2431.8,342783
2532.7,332551
2633.6,321606
2734.5,309215
2835.5,302288
2936.4,296327
3037.3,287120
3138.2,281476
3239.1,270384
3340,264345
3440.9,255368
3541.8,248751
3642.7,243220
3743.6,237758
3844.5,230547
3945.5,225598
4046.4,222628
4147.3,219029
4248.2,215067
4349.1,211035
4450,205056
4550.9,197924
4651.8,193619
4752.7,192650
4853.6,184844
4954.5,180296
5055.5,174348
5156.4,169888
5257.3,167401
5358.2,163504
5459.1,161195
5560,158263
5660.9,156993
5761.8,154455
5862.7,153620
5963.6,158907
6064.5,160807
6165.5,168094
6266.4,166271
6367.3,164353
6468.2,161798
6569.1,158730
6670,155423
6770.9,152860
6871.8,151402
6972.7,149452
7073.6,147610
7174.5,145641
7275.5,145985
7376.4,145283
7477.3,143266
7578.2,141148
7679.1,139291
7780,137176
7880.9,135693
7981.8,134442
8082.7,135048
8183.6,133226
8284.5,131352
8385.5,129598
8486.4,127950
8587.3,126428
8688.2,124996
8789.1,123978
8890,122376
8990.9,121268
9091.8,119815
9192.7,118329
9293.6,116916
9394.5,116089
9495.5,116798
9596.4,115484
9697.3,114091
9798.2,112700
9899.1,111498
10000,110659
