Frequency,Data
312.73,1050110
413.64,863762
514.55,743866
615.45,654634
716.36,584883
817.27,530210
918.18,488466
1019.1,449537
1120,417328
1220.9,389182
1321.8,367867
1422.7,351438
1523.6,335866
1624.5,318616
1725.5,303589
1826.4,291406
1927.3,281004
2028.2,269657
2129.1,260305
2230,253525
2330.9,245435
2431.8,241040
2532.7,234867
2633.6,226403
2734.5,220691
2835.5,214087
2936.4,205761
3037.3,199014
3138.2,193409
3239.1,188447
3340,186342
3440.9,181633
3541.8,178109
3642.7,173788
3743.6,170419
3844.5,166305
3945.5,163486
4046.4,161086
4147.3,156870
4248.2,153721
4349.1,149710
4450,146550
4550.9,143557
4651.8,140818
4752.7,137801
4853.6,135826
4954.5,134320
5055.5,132367
5156.4,130293
5257.3,128364
5358.2,126092
5459.1,123803
5560,122838
5660.9,121396
5761.8,126901
5862.7,129529
5963.6,125961
6064.5,123139
6165.5,120666
6266.4,118549
6367.3,116907
6468.2,114958
6569.1,113470
6670,111931
6770.9,110617
6871.8,109228
6972.7,107605
7073.6,105718
7174.5,104124
7275.5,102837
7376.4,101276
7477.3,99857.7
7578.2,99030.8
7679.1,97380.7
7780,96380.6
7880.9,94986.2
7981.8,93717.2
8082.7,92746.9
8183.6,91706.8
8284.5,90695.6
8385.5,89877.1
8486.4,89628.5
8587.3,89392.5
8688.2,88331.4
8789.1,87091.4
8890,85955.3
8990.9,85472.1
9091.8,84780.2
9192.7,84033.5
9293.6,83228.4
9394.5,82413.3
9495.5,81446.5
9596.4,80973.9
9697.3,80402.9
9798.2,80132.6
9899.1,79391.5
10000,79037.3
