Frequency,Data
615.45,1053610
716.36,936879
817.27,837204
918.18,764009
1019.1,694542
1120,639937
1220.9,604920
1321.8,563364
1422.7,526351
1523.6,498085
1624.5,471373
1725.5,451074
1826.4,432117
1927.3,412556
2028.2,398360
2129.1,379010
2230,363417
2330.9,349874
2431.8,336719
2532.7,322265
2633.6,311559
2734.5,300092
2835.5,290473
2936.4,279569
3037.3,273697
3138.2,266021
3239.1,258759
3340,250874
3440.9,243580
3541.8,236684
3642.7,230357
3743.6,225790
3844.5,220000
3945.5,213959
4046.4,208315
4147.3,203709
4248.2,199066
4349.1,195276
4450,190651
4550.9,186651
4651.8,181343
4752.7,177790
4853.6,174242
4954.5,170328
5055.5,167025
5156.4,164832
5257.3,161664
5358.2,158971
5459.1,155966
5560,153058
5660.9,150063
5761.8,148052
5862.7,145302
5963.6,142953
6064.5,140630
6165.5,138437
6266.4,136349
6367.3,134709
6468.2,132506
6569.1,130688
6670,128944
6770.9,126780
6871.8,124958
6972.7,123305
7073.6,121556
7174.5,119494
7275.5,117738
7376.4,116027
7477.3,114129
7578.2,112486
7679.1,110949
7780,109425
7880.9,107938
7981.8,106553
8082.7,105059
8183.6,103525
8284.5,102041
8385.5,100673
8486.4,99687.1
8587.3,98225.1
8688.2,97330.6
8789.1,96223.9
8890,95277.7
8990.9,94094.5
9091.8,93183.7
9192.7,92287.3
9293.6,91382.8
9394.5,90498
9495.5,89702.5
9596.4,88552.4
9697.3,87793.9
9798.2,86672.7
9899.1,85996.7
10000,85099.9
