Frequency,Data
10,74484000
110.91,14346000
211.82,8338780
312.73,6213230
413.64,4886860
514.55,4104690
615.45,3615260
716.36,3162280
817.27,2817230
918.18,2567550
1019.1,2345010
1120,2156800
1220.9,1993650
1321.8,1872270
1422.7,1772630
1523.6,1691650
1624.5,1601930
1725.5,1499840
1826.4,9.9E+37
1927.3,9.9E+37
2028.2,9.9E+37
2129.1,9.9E+37
2230,9.9E+37
2330.9,9.9E+37
2431.8,1076600
2532.7,1043110
2633.6,1002250
2734.5,971714
2835.5,935414
2936.4,901806
3037.3,880088
3138.2,858748
3239.1,823639
3340,799977
3440.9,775117
3541.8,754491
3642.7,741196
3743.6,723378
3844.5,704423
3945.5,687162
4046.4,670915
4147.3,655616
4248.2,639207
4349.1,626604
4450,613082
4550.9,595068
4651.8,588450
4752.7,572207
4853.6,560968
4954.5,548962
5055.5,537467
5156.4,527472
5257.3,517044
5358.2,508605
5459.1,501457
5560,495904
5660.9,487595
5761.8,477930
5862.7,471841
5963.6,462626
6064.5,454236
6165.5,447230
6266.4,443213
6367.3,437145
6468.2,430182
6569.1,422223
6670,414703
6770.9,408004
6871.8,404395
6972.7,400637
7073.6,392845
7174.5,387405
7275.5,380562
7376.4,377368
7477.3,374500
7578.2,369991
7679.1,365549
7780,359161
7880.9,356490
7981.8,353250
8082.7,348302
8183.6,346516
8284.5,344768
8385.5,342099
8486.4,336008
8587.3,328836
8688.2,323518
8789.1,319755
8890,315949
8990.9,314667
9091.8,310012
9192.7,306885
9293.6,305622
9394.5,301451
9495.5,297554
9596.4,292190
9697.3,289042
9798.2,285822
9899.1,283312
10000,279585
