Frequency,Data
1927.3,1074720
2028.2,1011190
2129.1,974026
2230,929537
2330.9,893978
2431.8,858662
2532.7,823486
2633.6,793704
2734.5,754026
2835.5,727828
2936.4,710158
3037.3,693936
3138.2,668948
3239.1,651692
3340,635145
3440.9,608572
3541.8,589432
3642.7,570690
3743.6,558744
3844.5,542653
3945.5,522691
4046.4,515755
4147.3,503864
4248.2,487945
4349.1,479850
4450,463377
4550.9,447002
4651.8,431039
4752.7,422511
4853.6,412733
4954.5,404662
5055.5,394906
5156.4,385019
5257.3,379120
5358.2,375737
5459.1,361672
5560,355534
5660.9,351149
5761.8,348760
5862.7,342333
5963.6,332648
6064.5,326285
6165.5,320144
6266.4,312982
6367.3,308656
6468.2,301621
6569.1,298206
6670,291730
6770.9,286079
6871.8,281072
6972.7,275061
7073.6,270956
7174.5,267694
7275.5,263906
7376.4,259015
7477.3,255123
7578.2,251856
7679.1,248843
7780,244418
7880.9,241592
7981.8,238914
8082.7,235404
8183.6,233146
8284.5,230255
8385.5,227073
8486.4,223956
8587.3,221141
8688.2,218683
8789.1,217144
8890,214830
8990.9,213165
9091.8,211488
9192.7,208126
9293.6,205247
9394.5,202732
9495.5,200097
9596.4,197564
9697.3,195250
9798.2,193369
9899.1,190808
10000,188889
