Frequency,Data
413.64,827222
514.55,713211
615.45,632165
716.36,568831
817.27,516340
918.18,474762
1019.1,438899
1120,408390
1220.9,384081
1321.8,364294
1422.7,342659
1523.6,324963
1624.5,308872
1725.5,296942
1826.4,287211
1927.3,276451
2028.2,264995
2129.1,255037
2230,247004
2330.9,238999
2431.8,232092
2532.7,225191
2633.6,218383
2734.5,212500
2835.5,206675
2936.4,201719
3037.3,199986
3138.2,195144
3239.1,191390
3340,186696
3440.9,183160
3541.8,179522
3642.7,178696
3743.6,174431
3844.5,170564
3945.5,166931
4046.4,163286
4147.3,159963
4248.2,156876
4349.1,153393
4450,150246
4550.9,147894
4651.8,145573
4752.7,144057
4853.6,143894
4954.5,141523
5055.5,138846
5156.4,136791
5257.3,134639
5358.2,133172
5459.1,131620
5560,130074
5660.9,127989
5761.8,126124
5862.7,124559
5963.6,122792
6064.5,124633
6165.5,121124
6266.4,120036
6367.3,122171
6468.2,118764
6569.1,117329
6670,115180
6770.9,113427
6871.8,112131
6972.7,111340
7073.6,109810
7174.5,108138
7275.5,106913
7376.4,105511
7477.3,104176
7578.2,103067
7679.1,101723
7780,100944
7880.9,99478
7981.8,98104.2
8082.7,97079
8183.6,96012.4
8284.5,95055.1
8385.5,93957.5
8486.4,93013
8587.3,92319.7
8688.2,91379.6
8789.1,90451.4
8890,89090.3
8990.9,88554.6
9091.8,87878.7
9192.7,87111.9
9293.6,86253.4
9394.5,85038
9495.5,84153.3
9596.4,83371.6
9697.3,82616.9
9798.2,81997.2
9899.1,81599.5
10000,80921.1
