Frequency,Data
1523.6,1016380
1624.5,930422
1725.5,880355
1826.4,836086
1927.3,789391
2028.2,752317
2129.1,713230
2230,717080
2330.9,722263
2431.8,681207
2532.7,656719
2633.6,617447
2734.5,584502
2835.5,573639
2936.4,537539
3037.3,535290
3138.2,515420
3239.1,499354
3340,490013
3440.9,482283
3541.8,470030
3642.7,456059
3743.6,458223
3844.5,524441
3945.5,446558
4046.4,428781
4147.3,400227
4248.2,387507
4349.1,379629
4450,383689
4550.9,389060
4651.8,363664
4752.7,347281
4853.6,336382
4954.5,335648
5055.5,359108
5156.4,336105
5257.3,319237
5358.2,309322
5459.1,301967
5560,290356
5660.9,282665
5761.8,274857
5862.7,269938
5963.6,262954
6064.5,265038
6165.5,261471
6266.4,254765
6367.3,249036
6468.2,240617
6569.1,233180
6670,228075
6770.9,223805
6871.8,217393
6972.7,214860
7073.6,209477
7174.5,206353
7275.5,204097
7376.4,202418
7477.3,200066
7578.2,197597
7679.1,193917
7780,192399
7880.9,191669
7981.8,188096
8082.7,187870
8183.6,182311
8284.5,182265
8385.5,180087
8486.4,181299
8587.3,188002
8688.2,181944
8789.1,187038
8890,188845
8990.9,188342
9091.8,187937
9192.7,181857
9293.6,186665
9394.5,204453
9495.5,198906
9596.4,194752
9697.3,237025
9798.2,308806
9899.1,242540
10000,226350
