Frequency,Data
110.91,946682
211.82,578690
312.73,426009
413.64,337738
514.55,281665
615.45,244043
716.36,214179
817.27,191242
918.18,172859
1019.1,157929
1120,145525
1220.9,136270
1321.8,126027
1422.7,117755
1523.6,110904
1624.5,104901
1725.5,99495.7
1826.4,94234.7
1927.3,90695.3
2028.2,85985.1
2129.1,82524.6
2230,78863
2330.9,76017.7
2431.8,72962
2532.7,70501.3
2633.6,67696.4
2734.5,65444.3
2835.5,62992.6
2936.4,60911
3037.3,59258
3138.2,57623.5
3239.1,56426.1
3340,55393.7
3440.9,52719.4
3541.8,52204.6
3642.7,50950.5
3743.6,49654.3
3844.5,48529.4
3945.5,47857.8
4046.4,46851.9
4147.3,46230.3
4248.2,45692
4349.1,43851.7
4450,42493.6
4550.9,42946.1
4651.8,41880.3
4752.7,41156
4853.6,41799.8
4954.5,40431.7
5055.5,39452
5156.4,38985.2
5257.3,38344.7
5358.2,38593.7
5459.1,38261
5560,37904.4
5660.9,37036.6
5761.8,36498.8
5862.7,38827.8
5963.6,38127
6064.5,36407.8
6165.5,35980.3
6266.4,34970
6367.3,34976.8
6468.2,37134.3
6569.1,36658.6
6670,35919.5
6770.9,35053.4
6871.8,34340
6972.7,32885.7
7073.6,31534.6
7174.5,30621.5
7275.5,30449.1
7376.4,31691.5
7477.3,32318.5
7578.2,31981
7679.1,30629.1
7780,30128.1
7880.9,29778.4
7981.8,30549.7
8082.7,29730.7
8183.6,29006
8284.5,28486.6
8385.5,27799.8
8486.4,27933.9
8587.3,27156.8
8688.2,27035.6
8789.1,26673.8
8890,26993.8
8990.9,26518.8
9091.8,25996
9192.7,25060.1
9293.6,24832.3
9394.5,24535.7
9495.5,24329.3
9596.4,23888.2
9697.3,23645
9798.2,23410.6
9899.1,23426.9
10000,23031
