Frequency,Data
1321.8,1139180
1422.7,1070090
1523.6,1001960
1624.5,946123
1725.5,895374
1826.4,849949
1927.3,808585
2028.2,769438
2129.1,736971
2230,699917
2330.9,663735
2431.8,639259
2532.7,616661
2633.6,595902
2734.5,572118
2835.5,552715
2936.4,541079
3037.3,516634
3138.2,502378
3239.1,483781
3340,471881
3440.9,457257
3541.8,447296
3642.7,436830
3743.6,422674
3844.5,412787
3945.5,402360
4046.4,391052
4147.3,385076
4248.2,375947
4349.1,369526
4450,361482
4550.9,356300
4651.8,349310
4752.7,342188
4853.6,335344
4954.5,328956
5055.5,324893
5156.4,317359
5257.3,314503
5358.2,313362
5459.1,317055
5560,313371
5660.9,305651
5761.8,296394
5862.7,291698
5963.6,287435
6064.5,281930
6165.5,279106
6266.4,273111
6367.3,267574
6468.2,265271
6569.1,258732
6670,253581
6770.9,249130
6871.8,247321
6972.7,242650
7073.6,239198
7174.5,234838
7275.5,231937
7376.4,229115
7477.3,225621
7578.2,223789
7679.1,221205
7780,220360
7880.9,219276
7981.8,215867
8082.7,213406
8183.6,211242
8284.5,209837
8385.5,206996
8486.4,204831
8587.3,201737
8688.2,200881
8789.1,198076
8890,195515
8990.9,192585
9091.8,189123
9192.7,188223
9293.6,185022
9394.5,184025
9495.5,182234
9596.4,180009
9697.3,177210
9798.2,176246
9899.1,174102
10000,171811
