Frequency,Data
312.73,1118100
413.64,891112
514.55,741278
615.45,644294
716.36,571945
817.27,510184
918.18,458658
1019.1,421383
1120,389175
1220.9,359209
1321.8,336286
1422.7,314292
1523.6,295902
1624.5,280412
1725.5,267344
1826.4,257663
1927.3,247438
2028.2,233444
2129.1,222886
2230,212307
2330.9,205552
2431.8,198579
2532.7,191839
2633.6,183196
2734.5,182703
2835.5,175651
2936.4,169076
3037.3,163312
3138.2,160287
3239.1,157114
3340,152095
3440.9,149434
3541.8,143637
3642.7,139252
3743.6,137247
3844.5,132672
3945.5,130206
4046.4,128617
4147.3,125223
4248.2,122182
4349.1,119811
4450,117031
4550.9,114651
4651.8,112813
4752.7,110263
4853.6,108566
4954.5,106211
5055.5,105348
5156.4,103483
5257.3,102277
5358.2,100159
5459.1,97942.3
5560,96808.4
5660.9,94733.2
5761.8,93949
5862.7,92004.7
5963.6,91970.1
6064.5,90928.1
6165.5,90694.7
6266.4,88737.2
6367.3,88709.9
6468.2,86959.9
6569.1,85182.3
6670,84052.9
6770.9,83094.5
6871.8,82048.5
6972.7,82431.6
7073.6,80410.7
7174.5,78825.1
7275.5,77771.5
7376.4,76765.2
7477.3,76020.8
7578.2,74834
7679.1,74026.8
7780,73271.2
7880.9,72265.3
7981.8,71288.6
8082.7,70513.7
8183.6,69693.8
8284.5,68884.4
8385.5,68172.7
8486.4,68152.1
8587.3,69251.7
8688.2,68417.6
8789.1,71846.7
8890,67216.3
8990.9,66632.3
9091.8,66532.2
9192.7,65710.6
9293.6,64929.4
9394.5,64717.8
9495.5,63407.5
9596.4,62467.5
9697.3,61673.3
9798.2,61761.8
9899.1,60139.2
10000,59684.2
