Frequency,Data
817.27,1072880
918.18,968920
1019.1,890644
1120,819494
1220.9,763633
1321.8,712823
1422.7,668436
1523.6,630363
1624.5,597046
1725.5,568449
1826.4,540765
1927.3,518259
2028.2,496812
2129.1,476249
2230,457407
2330.9,437901
2431.8,423760
2532.7,410260
2633.6,393816
2734.5,380698
2835.5,368187
2936.4,359767
3037.3,345797
3138.2,337529
3239.1,328647
3340,319146
3440.9,311839
3541.8,303301
3642.7,296187
3743.6,290596
3844.5,284118
3945.5,276646
4046.4,271301
4147.3,268114
4248.2,260795
4349.1,255246
4450,249623
4550.9,244806
4651.8,241289
4752.7,235373
4853.6,232018
4954.5,227566
5055.5,223943
5156.4,219541
5257.3,215782
5358.2,213512
5459.1,209400
5560,205425
5660.9,202077
5761.8,198129
5862.7,195543
5963.6,192065
6064.5,189085
6165.5,185815
6266.4,183042
6367.3,180954
6468.2,178104
6569.1,175415
6670,172376
6770.9,170571
6871.8,168562
6972.7,167422
7073.6,165386
7174.5,164809
7275.5,162208
7376.4,159601
7477.3,157342
7578.2,154863
7679.1,152938
7780,151520
7880.9,150087
7981.8,149591
8082.7,148750
8183.6,146739
8284.5,145883
8385.5,143983
8486.4,141676
8587.3,139894
8688.2,138085
8789.1,136688
8890,135202
8990.9,133608
9091.8,132045
9192.7,130800
9293.6,129126
9394.5,127770
9495.5,126424
9596.4,125434
9697.3,124022
9798.2,122662
9899.1,121740
10000,120245
