Frequency,Data
10,82157200
110.91,17484500
211.82,13596000
312.73,9967620
413.64,7710110
514.55,6689750
615.45,5873610
716.36,5219150
817.27,4575080
918.18,4201120
1019.1,3747840
1120,3483010
1220.9,3255570
1321.8,3025120
1422.7,2823670
1523.6,2662110
1624.5,2535220
1725.5,2384760
1826.4,2279670
1927.3,2142810
2028.2,9.9E+37
2129.1,9.9E+37
2230,9.9E+37
2330.9,9.9E+37
2431.8,9.9E+37
2532.7,9.9E+37
2633.6,9.9E+37
2734.5,9.9E+37
2835.5,9.9E+37
2936.4,9.9E+37
3037.3,9.9E+37
3138.2,9.9E+37
3239.1,9.9E+37
3340,9.9E+37
3440.9,9.9E+37
3541.8,9.9E+37
3642.7,9.9E+37
3743.6,9.9E+37
3844.5,1103450
3945.5,1087870
4046.4,1052250
4147.3,1023550
4248.2,996999
4349.1,972455
4450,949436
4550.9,925608
4651.8,904608
4752.7,890626
4853.6,872376
4954.5,861108
5055.5,842683
5156.4,836657
5257.3,820674
5358.2,805095
5459.1,787009
5560,765299
5660.9,752887
5761.8,744298
5862.7,728564
5963.6,716698
6064.5,703670
6165.5,691165
6266.4,677467
6367.3,672931
6468.2,658762
6569.1,658716
6670,654947
6770.9,645629
6871.8,628901
6972.7,617450
7073.6,608001
7174.5,598290
7275.5,591729
7376.4,575557
7477.3,564742
7578.2,556845
7679.1,549187
7780,545520
7880.9,536894
7981.8,529721
8082.7,520609
8183.6,516131
8284.5,511733
8385.5,507639
8486.4,506313
8587.3,497802
8688.2,491890
8789.1,484967
8890,478844
8990.9,478389
9091.8,469457
9192.7,460333
9293.6,449357
9394.5,442794
9495.5,439869
9596.4,436493
9697.3,432725
9798.2,426733
9899.1,420795
10000,413693
