Frequency,Data
1220.9,1062510
1321.8,999826
1422.7,941708
1523.6,887889
1624.5,834085
1725.5,791329
1826.4,750633
1927.3,714640
2028.2,679835
2129.1,653161
2230,626375
2330.9,606368
2431.8,585058
2532.7,563761
2633.6,540913
2734.5,524495
2835.5,508019
2936.4,492617
3037.3,481278
3138.2,463160
3239.1,457717
3340,444706
3440.9,432684
3541.8,417306
3642.7,408857
3743.6,396112
3844.5,387041
3945.5,378613
4046.4,368823
4147.3,345595
4248.2,332244
4349.1,324795
4450,317081
4550.9,311423
4651.8,304410
4752.7,298417
4853.6,293183
4954.5,286504
5055.5,281344
5156.4,275411
5257.3,271915
5358.2,265986
5459.1,263323
5560,258268
5660.9,254429
5761.8,248884
5862.7,244529
5963.6,241491
6064.5,237123
6165.5,233275
6266.4,229813
6367.3,226670
6468.2,223228
6569.1,220486
6670,216578
6770.9,213506
6871.8,210737
6972.7,209166
7073.6,206324
7174.5,203599
7275.5,201395
7376.4,198727
7477.3,197185
7578.2,194614
7679.1,191990
7780,190000
7880.9,187888
7981.8,185321
8082.7,183606
8183.6,181408
8284.5,179254
8385.5,176790
8486.4,174702
8587.3,172468
8688.2,171039
8789.1,168883
8890,167027
8990.9,164978
9091.8,163688
9192.7,161811
9293.6,159622
9394.5,158428
9495.5,156766
9596.4,155335
9697.3,153664
9798.2,152089
9899.1,150494
10000,148583
