Frequency,Data
2028.2,1057920
2129.1,1027860
2230,984326
2330.9,947155
2431.8,913682
2532.7,884118
2633.6,839524
2734.5,804885
2835.5,771284
2936.4,744151
3037.3,722531
3138.2,687777
3239.1,673493
3340,648399
3440.9,633151
3541.8,605666
3642.7,584366
3743.6,565111
3844.5,546469
3945.5,530244
4046.4,509830
4147.3,502044
4248.2,488672
4349.1,478681
4450,460213
4550.9,452272
4651.8,441077
4752.7,433993
4853.6,419874
4954.5,415155
5055.5,406407
5156.4,396992
5257.3,390848
5358.2,383168
5459.1,374008
5560,366946
5660.9,361622
5761.8,355257
5862.7,347015
5963.6,338953
6064.5,330281
6165.5,317159
6266.4,310098
6367.3,305661
6468.2,300348
6569.1,293276
6670,289599
6770.9,285785
6871.8,281127
6972.7,275604
7073.6,271398
7174.5,266968
7275.5,262788
7376.4,257355
7477.3,253008
7578.2,250510
7679.1,247541
7780,243814
7880.9,240498
7981.8,235306
8082.7,233824
8183.6,231085
8284.5,227473
8385.5,224857
8486.4,222772
8587.3,218219
8688.2,216363
8789.1,213152
8890,211060
8990.9,208842
9091.8,205276
9192.7,201932
9293.6,199738
9394.5,197190
9495.5,194588
9596.4,192763
9697.3,190114
9798.2,187589
9899.1,185864
10000,183100
