Frequency,Data
1019.1,1018270
1120,945474
1220.9,885874
1321.8,832963
1422.7,787863
1523.6,747825
1624.5,709213
1725.5,677333
1826.4,645831
1927.3,618588
2028.2,581976
2129.1,570091
2230,546267
2330.9,524868
2431.8,494226
2532.7,466034
2633.6,441678
2734.5,425260
2835.5,409707
2936.4,397528
3037.3,384482
3138.2,374060
3239.1,363891
3340,354981
3440.9,345107
3541.8,337956
3642.7,330562
3743.6,322034
3844.5,314580
3945.5,307498
4046.4,301255
4147.3,296365
4248.2,290026
4349.1,283855
4450,278370
4550.9,270845
4651.8,266177
4752.7,262821
4853.6,255680
4954.5,252224
5055.5,247663
5156.4,244147
5257.3,240329
5358.2,236474
5459.1,233138
5560,229334
5660.9,225615
5761.8,222051
5862.7,218306
5963.6,215294
6064.5,212917
6165.5,209638
6266.4,206744
6367.3,203722
6468.2,200129
6569.1,197799
6670,195103
6770.9,192257
6871.8,189804
6972.7,186823
7073.6,184279
7174.5,182979
7275.5,180559
7376.4,177980
7477.3,176024
7578.2,174172
7679.1,172250
7780,169819
7880.9,168444
7981.8,166022
8082.7,164882
8183.6,162898
8284.5,160883
8385.5,159327
8486.4,157228
8587.3,155822
8688.2,154043
8789.1,152164
8890,150778
8990.9,148792
9091.8,147476
9192.7,145488
9293.6,144245
9394.5,143038
9495.5,141600
9596.4,140466
9697.3,139145
9798.2,137598
9899.1,136223
10000,135664
